sent,sentruby,level
そして、顕微鏡で見ながら、とても細い針で原子を少しずつ動かして撮りました。,そして、顕微鏡(けんびきょう)で見(み)ながら、とても細(ほそ)い針(はり)で原子(げんし)を少(すこ)しずつ動(うご)かして撮(と)りました。,3.0
これはいちばん小さいアニメーションの世界記録になりました。,これはいちばん小(ちい)さいアニメーションの世界記録(せかいきろく)になりました。,3.8
メタンハイドレートは天然ガスと水でできた氷のような状態の資源です。,メタンハイドレートは天然(てんねん)ガスと水(みず)でできた氷(こおり)のような状態(じょうたい)の資源(しげん)です。,2.8
このため、いろいろなところで調査をしっかり続けることにしています。,このため、いろいろなところで調査(ちょうさ)をしっかり続(つづ)けることにしています。,2.7
国はすぐ下に活断層がある場所には原子炉を造ってはいけないと考えています。,国(くに)はすぐ下(した)に活断層(かつだんそう)がある場所(ばしょ)には原子炉(げんしろ)を造(つく)ってはいけないと考(かんが)えています。,3.3
学校に来たら乱暴をするとメールで脅すと、「脅迫」になる可能性があります。,学校(がっこう)に来(き)たら乱暴(らんぼう)をするとメールで脅(おど)すと、「脅迫(きょうはく)」になる可能性(かのうせい)があります。,2.5
困っている人が保育所について専門の人に相談できるようにもしました。,困(こま)っている人(ひと)が保育所(ほいくじょ)について専門(せんもん)の人(ひと)に相談(そうだん)できるようにもしました。,3.3
厚生労働省によると、待機児童は去年１０月に約４万６０００人いました。,厚生労働省(こうせいろうどうしょう)によると、待機児童(たいきじどう)は去年(きょねん)１０月(がつ)に約(やく)４万(まん)６０００人(にん)いました。,3.8
イラクでは、２０１１年に戦争が終わったあとも、国が安定していません。,イラクでは、２０１１年(ねん)に戦争(せんそう)が終(お)わったあとも、国(くに)が安定(あんてい)していません。,4.0
けがをした人の数も２０００人以上でした。,けがをした人(ひと)の数(かず)も２０００人(にん)以上(いじょう)でした。,4.4
このため、テロや事件がいろいろなところで起こっています。,このため、テロや事件(じけん)がいろいろなところで起(お)こっています。,3.3
Ｌ０系は、リニア中央新幹線のために作った新しい型の車両です。,Ｌ０系(けい)は、リニア中央(ちゅうおう)新幹線(しんかんせん)のために作(つく)った新(あたら)しい型(かた)の車両(しゃりょう)です。,3.5
１９８９年６月４日に、中国の北京で「天安門事件」がありました。,１９８９年(ねん)６月(がつ)４日(よっか)に、中国(ちゅうごく)の北京(ぺきん)で「天安門(てんあんもん)事件(じけん)」がありました。,4.5
中国政府は３１９人が亡くなったと発表しています。,中国(ちゅうごく)政府(せいふ)は３１９人(にん)が亡(な)くなったと発表(はっぴょう)しています。,3.6
事件から２４年が過ぎた４日の朝、天安門広場は観光客がいてにぎやかでした。,事件(じけん)から２４年(ねん)が過(す)ぎた４日(よっか)の朝(あさ)、天安門(てんあんもん)広場(ひろば)は観光(かんこう)客(きゃく)がいてにぎやかでした。,3.9
４日、今までの調査で分かったことについて説明会がありました。,４日(よっか)、今(いま)までの調査(ちょうさ)で分(わ)かったことについて説明(せつめい)会(かい)がありました。,4.1
これから、古墳の中に遺体を置く部屋などがあるかどうか調べることになっています。,これから、古墳(こふん)の中(なか)に遺体(いたい)を置(お)く部屋(へや)などがあるかどうか調(しら)べることになっています。,3.2
水などを入れる土器や小さい皿のような土器など３００以上が見つかりました。,水(みず)などを入(い)れる土器(どき)や小(ちい)さい皿(さら)のような土器(どき)など３００以上(いじょう)が見(み)つかりました。,4.4
また、今回初めて、日本で行った試合でワールドカップに出ることが決まりました。,また、今回(こんかい)初(はじ)めて、日本(にっぽん)で行(おこな)った試合(しあい)でワールドカップに出(で)ることが決(き)まりました。,4.3
カスターさんは先月３０日に１０２歳になりました。,カスターさんは先月(せんげつ)３０日(にち)に１０２歳(さい)になりました。,4.2
パラシュートが開いて、カスターさんは空を飛びました。,パラシュートが開(ひら)いて、カスターさんは空(そら)を飛(と)びました。,4.0
ウイルスのプログラムを調べると、同じ犯人だと考えられます。,ウイルスのプログラムを調(しら)べると、同(おな)じ犯人(はんにん)だと考(かんが)えられます。,3.6
最近、憲法を変えるかどうかについて、いろいろな意見が出ています。,最近(さいきん)、憲法(けんぽう)を変(か)えるかどうかについて、いろいろな意見(いけん)が出(で)ています。,3.5
この本屋では、憲法についての本が去年の１．４倍売れているためです。,この本屋(ほんや)では、憲法(けんぽう)についての本(ほん)が去年(きょねん)の１．４倍(ばい)売(う)れているためです。,3.8
会社は、一部のコンビニエンスストアでもこの本を売ることにしています。,会社(かいしゃ)は、一部(いちぶ)のコンビニエンスストアでもこの本(ほん)を売(う)ることにしています。,4.5
時計と反対の回り方で走ることや、狭い道は縦に並んで走ることなどです。,時計(とけい)と反対(はんたい)の回(まわ)り方(かた)で走(はし)ることや、狭(せま)い道(みち)は縦(たて)に並(なら)んで走(はし)ることなどです。,3.4
警察は、ルールを守らない大会には道を使ってはいけないと言うことも考えています。,警察(けいさつ)は、ルールを守(まも)らない大会(たいかい)には道(みち)を使(つか)ってはいけないと言(い)うことも考(かんが)えています。,4.0
しかし、５月は４人しかいませんでした。,しかし、５月(がつ)は４人(にん)しかいませんでした。,5.0
９日には選手たちはパスの練習などをしました。,９日(ここのか)には選手(せんしゅ)たちはパスの練習(れんしゅう)などをしました。,4.0
香川選手は「イラクに勝って、いい形で予選を終わりたいです」と話しました。,香川(かがわ)選手(せんしゅ)は「イラクに勝(か)って、いい形(かたち)で予選(よせん)を終(お)わりたいです」と話(はな)しました。,3.6
ＪＲによると、駅の中で人と人がぶつかることも多くなっています。,ＪＲによると、駅(えき)の中(なか)で人(ひと)と人(ひと)がぶつかることも多(おお)くなっています。,5.0
政府は来年４月から消費税の率を今の５％から８％に上げる予定です。,政府(せいふ)は来年(らいねん)４月(がつ)から消費税(しょうひぜい)の率(りつ)を今(いま)の５％から８％に上(あ)げる予定(よてい)です。,3.5
反対に「上げないほうがいい」と答えた人が３５％でした。,反対(はんたい)に「上(あ)げないほうがいい」と答(こた)えた人(ひと)が３５％でした。,4.0
次に、原子力発電所の問題について聞きました。,次(つぎ)に、原子力(げんしりょく)発電所(はつでんしょ)の問題(もんだい)について聞(き)きました。,4.1
この考えに「賛成」と答えた人は２１％、「反対」と答えた人は４２％でした。,この考(かんが)えに「賛成(さんせい)」と答(こた)えた人(ひと)は２１％、「反対(はんたい)」と答(こた)えた人(ひと)は４２％でした。,3.7
今の憲法を改正する必要があると思うかという質問もしました。,今(いま)の憲法(けんぽう)を改正(かいせい)する必要(ひつよう)があると思(おも)うかという質問(しつもん)もしました。,3.4
「どちらがいいか言うことができない」は３４％でした。,「どちらがいいか言(い)うことができない」は３４％でした。,5.0
そして、ディスプレーにあるアイコンも新しくしました。,そして、ディスプレーにあるアイコンも新(あたら)しくしました。,5.0
子どもや女性を応援していて、文章を書く仕事もしています。,子(こ)どもや女性(じょせい)を応援(おうえん)していて、文章(ぶんしょう)を書(か)く仕事(しごと)もしています。,3.5
ガソリンは８．４％少なくなると考えています。,ガソリンは８．４％少(すく)なくなると考(かんが)えています。,4.5
農業や漁業をする人が少なくなると考えているためです。,農業(のうぎょう)や漁業(ぎょぎょう)をする人(ひと)が少(すく)なくなると考(かんが)えているためです。,4.0
ＪＡＸＡはそのお金の一部を使って、「はやぶさ２」に乗せるカメラを作りました。,ＪＡＸＡはそのお金(かね)の一部(いちぶ)を使(つか)って、「はやぶさ２」に乗(の)せるカメラを作(つく)りました。,4.2
ＪＡＸＡは「はやぶさ２」を来年１２月に打ち上げる計画です。,ＪＡＸＡは「はやぶさ２」を来年(らいねん)１２月(がつ)に打(う)ち上(あ)げる計画(けいかく)です。,4.4
このため、デモはいつ終わるか分かりません。,このため、デモはいつ終(お)わるか分(わ)かりません。,4.5
子どもが少なくなっているため、大人が楽しむことができるおもちゃも出ています。,子(こ)どもが少(すく)なくなっているため、大人(おとな)が楽(たの)しむことができるおもちゃも出(で)ています。,4.8
東京おもちゃショーは、東京の有明にある東京ビッグサイトで開いています。,東京(とうきょう)おもちゃショーは、東京(とうきょう)の有明(ありあけ)にある東京(とうきょう)ビッグサイトで開(ひら)いています。,4.3
タイやマレーシアの人は去年から観光のビザが要らなくなっています。,タイやマレーシアの人(ひと)は去年(きょねん)から観光(かんこう)のビザが要(い)らなくなっています。,4.0
日本に入るときの手続きをもっと速くすることも計画しています。,日本(にっぽん)に入(はい)るときの手続(てつづ)きをもっと速(はや)くすることも計画(けいかく)しています。,4.2
西日本などで暑くなって、熱中症の症状が出る人が増えています。,西日本(にしにほん)などで暑(あつ)くなって、熱中症(ねっちゅうしょう)の症状(しょうじょう)が出(で)る人(ひと)が増(ふ)えています。,3.6
このため、梅雨のころは特に気をつけなければなりません。,このため、梅雨(つゆ)のころは特(とく)に気(き)をつけなければなりません。,4.2
あまり気温が高くない２６℃でも、湿度が９０％以上になると危険が高くなります。,あまり気温(きおん)が高(たか)くない２６℃でも、湿度(しつど)が９０％以上(いじょう)になると危険(きけん)が高(たか)くなります。,3.7
また、無理をしないで冷房を使うなどして、十分気をつけるように言っています。,また、無理(むり)をしないで冷房(れいぼう)を使(つか)うなどして、十分(じゅうぶん)気(き)をつけるように言(い)っています。,3.9
アイスクリームはＧ８サミットに出席する８つの国の首相などをイメージしています。,アイスクリームはＧ８サミットに出席(しゅっせき)する８つの国(くに)の首相(しゅしょう)などをイメージしています。,4.0
日本の安倍総理大臣は抹茶の味がするアイスクリームでした。,日本(にっぽん)の安倍(あべ)総理大臣(そうりだいじん)は抹茶(まっちゃ)の味(あじ)がするアイスクリームでした。,3.7
店の人は「首相などが店に寄ってくれたら、とてもうれしいです」と話していました。,店(みせ)の人(ひと)は「首相(しゅしょう)などが店(みせ)に寄(よ)ってくれたら、とてもうれしいです」と話(はな)していました。,4.1
科学を分かりやすく伝える方法についての講義もありました。,科学(かがく)を分(わ)かりやすく伝(つた)える方法(ほうほう)についての講義(こうぎ)もありました。,3.2
今回は、世界遺産に推薦されている３１件について話し合いを行います。,今回(こんかい)は、世界遺産(せかいいさん)に推薦(すいせん)されている３１件(けん)について話(はな)し合(あ)いを行(おこな)います。,3.3
安倍総理大臣は、日本の経済を元気にするための政策を説明します。,安倍(あべ)総理大臣(そうりだいじん)は、日本(にっぽん)の経済(けいざい)を元気(げんき)にするための政策(せいさく)を説明(せつめい)します。,3.5
日本マクドナルドは、５００円より高いハンバーガーを初めて売ることにしました。,日本(にほん)マクドナルドは、５００円(えん)より高(たか)いハンバーガーを初(はじ)めて売(う)ることにしました。,4.5
その結果、１３か月増えていなかった売り上げが増えました。,その結果(けっか)、１３か月(げつ)増(ふ)えていなかった売(う)り上(あ)げが増(ふ)えました。,3.4
５００円より高いハンバーガーは、今まで売っていた中で最も高いと言っています。,５００円(えん)より高(たか)いハンバーガーは、今(いま)まで売(う)っていた中(なか)で最(もっと)も高(たか)いと言(い)っています。,4.6
レタスやベーコンも多く使って、お腹がいっぱいになるように作りました。,レタスやベーコンも多(おお)く使(つか)って、お腹(なか)がいっぱいになるように作(つく)りました。,3.8
アメリカの１６番目の大統領だったリンカーンのノートの一部が見つかりました。,アメリカの１６番目(ばんめ)の大統領(だいとうりょう)だったリンカーンのノートの一部(いちぶ)が見(み)つかりました。,3.6
ノートには、数学の問題や数字や記号などが表と裏にたくさん書いてあります。,ノートには、数学(すうがく)の問題(もんだい)や数字(すうじ)や記号(きごう)などが表(おもて)と裏(うら)にたくさん書(か)いてあります。,3.5
しかし、注射のあと、長い間体が痛いと言う人たちが出てきました。,しかし、注射(ちゅうしゃ)のあと、長(なが)い間(あいだ)体(からだ)が痛(いた)いと言(い)う人(ひと)たちが出(で)てきました。,4.0
日本以外でも注射のあと痛いままだったという人はいました。,日本(にっぽん)以外(いがい)でも注射(ちゅうしゃ)のあと痛(いた)いままだったという人(ひと)はいました。,3.9
１秒に３京３８６２兆回の計算ができます。,１秒(びょう)に３京(けい)３８６２兆(ちょう)回(かい)の計算(けいさん)ができます。,3.5
「天河２号」の計算の速さは、２番目のアメリカの「タイタン」の約２倍です。,「天河(てんが)２号(ごう)」の計算(けいさん)の速(はや)さは、２番目(ばんめ)のアメリカの「タイタン」の約(やく)２倍(ばい)です。,3.4
専門家は２年半の間に中国の技術が上がっていると話しています。,専門(せんもん)家(か)は２年(ねん)半(はん)の間(あいだ)に中国(ちゅうごく)の技術(ぎじゅつ)が上(あ)がっていると話(はな)しています。,4.1
去年から風疹の流行が続いていて、なかなか止まりません。,去年(きょねん)から風疹(ふうしん)の流行(りゅうこう)が続(つづ)いていて、なかなか止(と)まりません。,3.6
男性では、２０歳代から４０歳代が多くなっています。,男性(だんせい)では、２０歳(さい)代(だい)から４０歳(さい)代(だい)が多(おお)くなっています。,3.4
今は人間のｉＰＳ細胞などを動物の体に移植することは禁止になっています。,今(いま)は人間(にんげん)のｉＰＳ細胞(さいぼう)などを動物(どうぶつ)の体(からだ)に移植(いしょく)することは禁止(きんし)になっています。,3.5
トルコでは、エルドアン首相や政府に反対するデモが続いています。,トルコでは、エルドアン首相(しゅしょう)や政府(せいふ)に反対(はんたい)するデモが続(つづ)いています。,3.0
イスタンブールにある広場では、夜になると数百人が立ち続けています。,イスタンブールにある広場(ひろば)では、夜(よる)になると数(すう)百(ひゃく)人(にん)が立(た)ち続(つづ)けています。,4.1
黙ったまま立ち続ける抗議はほかの町でも始まっています。,黙(だま)ったまま立(た)ち続(つづ)ける抗議(こうぎ)はほかの町(まち)でも始(はじ)まっています。,3.0
世界遺産になると、今よりもっと大勢の人が登ると考えられます。,世界(せかい)遺産(いさん)になると、今(いま)よりもっと大勢(おおぜい)の人(ひと)が登(のぼ)ると考(かんが)えられます。,3.7
１８日、富士山の近くの市町村や県、警察の人などが集まって話し合いました。,１８日(にち)、富士山(ふじさん)の近(ちか)くの市町村(しちょうそん)や県(けん)、警察(けいさつ)の人(ひと)などが集(あつ)まって話(はな)し合(あ)いました。,3.9
例えば、富士山に登る人の数を決めて、登りたい人は予約をするようにします。,例(たと)えば、富士山(ふじさん)に登(のぼ)る人(ひと)の数(かず)を決(き)めて、登(のぼ)りたい人(ひと)は予約(よやく)をするようにします。,3.4
５合目からは大勢の人が同じ時間に登ることができないようにするなどの意見です。,５合(ごう)目(め)からは大勢(おおぜい)の人(ひと)が同(おな)じ時間(じかん)に登(のぼ)ることができないようにするなどの意見(いけん)です。,4.3
輸入は６兆７６１６億円で、去年より１０％増えました。,輸入(ゆにゅう)は６兆(ちょう)７６１６億(おく)円(えん)で、去年(きょねん)より１０％増(ふ)えました。,3.6
そのためにロシアやヨーロッパの国などにも協力してほしいと言いました。,そのためにロシアやヨーロッパの国(くに)などにも協力(きょうりょく)してほしいと言(い)いました。,4.2
別の建物からカメラや機械を動かすことができます。,別(べつ)の建物(たてもの)からカメラや機械(きかい)を動(うご)かすことができます。,3.7
この場所は放射線量が高いため、今までは長い時間は調べることができませんでした。,この場所(ばしょ)は放射線(ほうしゃせん)量(りょう)が高(たか)いため、今(いま)までは長(なが)い時間(じかん)は調(しら)べることができませんでした。,3.8
放射線量は、建物の中の最も高い場所で１時間に１９ミリシーベルトありました。,放射線(ほうしゃせん)量(りょう)は、建物(たてもの)の中(なか)の最(もっと)も高(たか)い場所(ばしょ)で１時間(じかん)に１９ミリシーベルトありました。,3.8
天井の近くには、その格納容器に続いている穴もあります。,天井(てんじょう)の近(ちか)くには、その格納(かくのう)容器(ようき)に続(つづ)いている穴(あな)もあります。,2.4
早い場合、２２日に富士山が世界遺産になることが決まりそうです。,早(はや)い場合(ばあい)、２２日(にち)に富士山(ふじさん)が世界遺産(せかいいさん)になることが決(き)まりそうです。,3.6
高野連はことし２月、高校などに体罰をしないように伝えました。,高野連(こうやれん)はことし２月(がつ)、高校(こうこう)などに体罰(たいばつ)をしないように伝(つた)えました。,3.9
１９６８年には世界で初めてマウスを使ったコンピューターを発表しました。,１９６８年(ねん)には世界(せかい)で初(はじ)めてマウスを使(つか)ったコンピューターを発表(はっぴょう)しました。,3.9
４日、参議院議員を選ぶ選挙の公示がありました。,４日(よっか)、参議院(さんぎいん)議員(ぎいん)を選(えら)ぶ選挙(せんきょ)の公示(こうじ)がありました。,3.3
７３人を選ぶ「選挙区」には、２７１人が立候補しています。,７３人(にん)を選(えら)ぶ「選挙区(せんきょく)」には、２７１人(にん)が立候補(りっこうほ)しています。,3.7
全部で４３３人が立候補しました。,全部(ぜんぶ)で４３３人(にん)が立候補(りっこうほ)しました。,3.5
今回の参議院選挙が終わったあと、これが変わるかどうかが焦点です。,今回(こんかい)の参議院(さんぎいん)選挙(せんきょ)が終(お)わったあと、これが変(か)わるかどうかが焦点(しょうてん)です。,3.3
５月までに沖縄県以外の都道府県で４３８１件の相談がありました。,５月(がつ)までに沖縄県(おきなわけん)以外(いがい)の都道府県(とどうふけん)で４３８１件(けん)の相談(そうだん)がありました。,3.4
被害にあった人は女性が８０％で、７０％が７０歳以上でした。,被害(ひがい)にあった人(ひと)は女性(じょせい)が８０％で、７０％が７０歳(さい)以上(いじょう)でした。,3.5
値段が安い航空会社をＬＣＣ＝ローコストキャリアと言います。,値段(ねだん)が安(やす)い航空(こうくう)会社(がいしゃ)をＬＣＣ＝ローコストキャリアと言(い)います。,4.0
ＬＣＣは、多くの場合、インターネットで飛行機の切符を予約したり買ったりします。,ＬＣＣは、多(おお)くの場合(ばあい)、インターネットで飛行機(ひこうき)の切符(きっぷ)を予約(よやく)したり買(か)ったりします。,3.7
予約の最後に、間違いがないかどうか確かめる画面がない場合があるためです。,予約(よやく)の最後(さいご)に、間違(まちが)いがないかどうか確(たし)かめる画面(がめん)がない場合(ばあい)があるためです。,3.5
このため、全部でいくらか分かりにくいという相談もたくさんあります。,このため、全部(ぜんぶ)でいくらか分(わ)かりにくいという相談(そうだん)もたくさんあります。,3.4
天気は関係なくて、いつでも同じぐらいの量の電気を作ることができます。,天気(てんき)は関係(かんけい)なくて、いつでも同(おな)じぐらいの量(りょう)の電気(でんき)を作(つく)ることができます。,4.1
開発のために国定公園の地面を掘って調べることは、規則を変えてから初めてです。,開発(かいはつ)のために国定公園(こくていこうえん)の地面(じめん)を掘(ほ)って調(しら)べることは、規則(きそく)を変(か)えてから初(はじ)めてです。,3.1
絵で使ったパンは豚の餌にすることにしています。,絵(え)で使(つか)ったパンは豚(ぶた)の餌(えさ)にすることにしています。,2.2
そして、１．５秒前に着陸をもう一度行おうとしていたことが分かりました。,そして、１．５秒(びょう)前(まえ)に着陸(ちゃくりく)をもう一度(いちど)行(おこな)おうとしていたことが分(わ)かりました。,4.2
副操縦士がボーイング７７７に慣れるための訓練も目的でした。,副操縦士(ふくそうじゅうし)がボーイング７７７に慣(な)れるための訓練(くんれん)も目的(もくてき)でした。,2.8
今回はドイツ東部にあるライプチヒでありました。,今回(こんかい)はドイツ東部(とうぶ)にあるライプチヒでありました。,4.2
これは、参加した国と地域の中で４番目に多くなりました。,これは、参加(さんか)した国(くに)と地域(ちいき)の中(なか)で４番目(ばんめ)に多(おお)くなりました。,3.9
２番目は台湾、３番目はスイスでした。,２番目(ばんめ)は台湾(たいわん)、３番目(ばんめ)はスイスでした。,3.7
夏休みになると、外国を旅行する人が増えます。,夏休(なつやす)みになると、外国(がいこく)を旅行(りょこう)する人(ひと)が増(ふ)えます。,4.4
感染の原因やどう感染していったかなどはまだ分かりません。,感染(かんせん)の原因(げんいん)やどう感染(かんせん)していったかなどはまだ分(わ)かりません。,2.6
警察は火炎瓶を投げた男を放火の疑いで逮捕して調べています。,警察(けいさつ)は火炎瓶(かえんびん)を投(な)げた男(おとこ)を放火(ほうか)の疑(うたが)いで逮捕(たいほ)して調(しら)べています。,2.8
市役所は１階の約２２００m²が焼けました。,市役所(しやくしょ)は１階(かい)の約(やく)２２００m²が焼(や)けました。,3.3
同じようなことが起こらないように安全についてもよく考えていくことにしています。,同(おな)じようなことが起(お)こらないように安全(あんぜん)についてもよく考(かんが)えていくことにしています。,4.0
紙を折っていろいろな形を作る「折り紙」は、日本に昔からある遊びです。,紙(かみ)を折(お)っていろいろな形(かたち)を作(つく)る「折(お)り紙(がみ)」は、日本(にっぽん)に昔(むかし)からある遊(あそ)びです。,3.7
会場では高さ約２５ｃｍのウサギの折り紙を見ることができます。,会場(かいじょう)では高(たか)さ約(やく)２５ｃｍのウサギの折(お)り紙(がみ)を見(み)ることができます。,4.1
はさみなどでは一度も切っていません。,はさみなどでは一(いち)度(ど)も切(き)っていません。,4.3
