No.,ジャンル,日本語,タイ語読み,タイ語文字
7,時刻の言い方,午前9時,kâaw naa lí kaa,เก้านาฬิกา
7,時刻の言い方,午後9時,yîi sìp ʔèt naa lí kaa,ยี่สิบเอ็ดนาฬิกา
8,時を表すことば,今,wee laa níi,เวลานี้
8,時を表すことば,現在,pàt cùʔ ban níi,ปัจจุบันนี้
8,時を表すことば,すぐに,than thii,ทันที
8,時を表すことば,今すぐに,dǐaw níi,เดี๋ยวนี้
8,時を表すことば,ふだんは・普通（の）,tham má daa,ธรรมดา
8,時を表すことば,まず・先に,kɔ̀ɔn,ก่อน
8,時を表すことば,さっき,mɯ̂a kîi níi,เมื่อกี้นี้
8,時を表すことば,この前,mɯ̂a kɔ̀ɔn níi,เมื่อก่อนนี้
8,時を表すことば,あとで（時間）・後日,wan lǎŋ,วันหลัง
8,時を表すことば,あとで（順番）・今後,thii lǎŋ,ทีหลัง
8,時を表すことば,これから・今後,tɔ̀ɔ pay níi,ต่อไปนี้
8,時を表すことば,次（の〜）,~ tɔ̀ɔ pay,(~)ต่อไป
8,時を表すことば,ふたたび,ʔìik / mày,อีก/ใหม่
8,時を表すことば,時々,baaŋ thii,บางที
8,時を表すことば,たびたび,bɔ̀ɔy,บ่อย(ๆ)
8,時を表すことば,いつも,sa mə̌ə,เสมอ
8,時を表すことば,突然,ka than hǎn,กะทันหัน
8,時を表すことば,このごろ・最近,mùu níi,หมู่นี้
8,時を表すことば,現代・近代,sa mǎy níi,สมัยนี้
8,時を表すことば,昔,sa mǎy kɔ̀ɔn,สมัยก่อน
8,時を表すことば,将来,nay ʔà naa khót,ในอนาคต
9,日付と曜日と週,日,wan,วัน
9,日付と曜日と週,日付,wan thîi,วันที่
9,日付と曜日と週,ついたち,wan thîi nɯ̀ŋ,วันที่หนึ่ง
9,日付と曜日と週,ふつか,wan thîi sɔ̌ɔŋ,วันที่สอง
9,日付と曜日と週,何日（日付）,wan thîi thâw ray,วันที่เท่าไร
9,日付と曜日と週,一日（期間）,nɯ̀ŋ wan,หนึ่งวัน
9,日付と曜日と週,二日（期間）,sɔ̌ɔŋ wan,สองวัน
9,日付と曜日と週,一両日,wan sɔ̌ɔŋ wan,วันสองวัน
9,日付と曜日と週,三・四日,sǎam sìi wan,สามสี่วัน
9,日付と曜日と週,何日間,kìi wan,กี่วัน
9,日付と曜日と週,日曜日,wan ʔaa thít,วันอาทิตย์
9,日付と曜日と週,月曜日,wan can,วันจันทร์
9,日付と曜日と週,火曜日,wan ʔaŋ khaan,วันอังคาร
9,日付と曜日と週,水曜日,wan phút,วันพุธ
9,日付と曜日と週,木曜日,wan phá rɯ́ hàt,วันพฤหัส
9,日付と曜日と週,金曜日,wan sùk,วันศุกร์
9,日付と曜日と週,土曜日,wan sǎw,วันเสาร์
9,日付と曜日と週,何曜日,wan ʔà ray,วันอะไร
9,日付と曜日と週,月水金,can phút sùk,จันทร์พุธศุกร์
9,日付と曜日と週,元旦,wan khɯ̂n pii mày,วันขึ้นปีใหม่
9,日付と曜日と週,週,ʔaa thít,อาทิตย์
10,月の名前,月,dɯan,เดือน
10,月の名前,一月,dɯan mók kà raa khom,เดือนมกราคม
10,月の名前,二月,dɯan kum phaa phan,เดือนกุมภาพันธ์
10,月の名前,三月,dɯan mii naa khom,เดือนมีนาคม
10,月の名前,四月,dɯan mee sǎa yon,เดือนเมษายน
10,月の名前,五月,dɯan phrɯ́t sa phaa khom,เดือนพฤษภาคม
10,月の名前,六月,dɯan míʔ thùʔ naa yon,เดือนมิถุนายน
10,月の名前,七月,dɯan kà rá kà daa khom,เดือนกรกฎาคม
10,月の名前,八月,dɯan sǐŋ hǎa khom,เดือนสิงหาคม
10,月の名前,九月,dɯan kan yaa yon,เดือนกันยายน
10,月の名前,十月,dɯan tùʔ laa khom,เดือนตุลาคม
10,月の名前,十一月,dɯan phrɯ́t sa cìʔ kaa yon,เดือนพฤศจิกายน
10,月の名前,十二月,dɯan than waa khom,เดือนธันวาคม
10,月の名前,何月,dɯan ʔà ray,เดือนอะไร
10,月の名前,一か月,nɯ̀ŋ dɯan,หนึ่งเดือน
10,月の名前,二か月,sɔ̌ɔŋ dɯan,สองเดือน
10,月の名前,何か月,kìi dɯan,กี่เดือน
10,月の名前,初旬,tôn duan,ต้นเดือน
10,月の名前,中旬,klaaŋ dɯan,กลางเดือน
10,月の名前,下旬,plaay duan,ปลายเดือน
10,月の名前,月末,sîn dɯan,สิ้นเดือน
11,今日・先週・来月,きょう,wan níi,วันนี้
11,今日・先週・来月,あした,phrûŋ níi,พรุ่งนี้
11,今日・先週・来月,あさって,máʔ rɯɯn níi,มะรืนนี้
11,今日・先週・来月,しあさって,máʔ rɯ̂aŋ níi,มะเรื่องนี้
11,今日・先週・来月,きのう,mɯ̂a waan níi,เมื่อวานนี้
11,今日・先週・来月,おととい,mɯ̂a waan sɯɯn níi,เมื่อวานซืนนี้
11,今日・先週・来月,翌日,wan rûŋ khɯ̂n,วันรุ่งขึ้น
11,今日・先週・来月,毎日,thúk wan,ทุกวัน
11,今日・先週・来月,休日・祝日,wan yùt,วันหยุด
11,今日・先週・来月,今週,ʔaa thít níi,อาทิตย์นี้
11,今日・先週・来月,来週,ʔaa thít nâa,อาทิตย์หน้า
11,今日・先週・来月,先週,ʔaa thít thîi lɛ́ɛw,อาทิตย์ที่แล้ว
11,今日・先週・来月,毎週,thúk ʔaa thít,ทุกอาทิตย์
11,今日・先週・来月,2週間,sɔ̌ɔŋ ʔaa thít,สองอาทิตย์
11,今日・先週・来月,何週間,kìi ʔaa thít,กี่อาทิตย์
11,今日・先週・来月,週末,sùt sàp daa,สุดสัปดาห์
11,今日・先週・来月,ゴールデン・ウィーク,sàp daa thɔɔŋ,สัปดาห์ทอง
11,今日・先週・来月,今月,dɯan níi,เดือนนี้
11,今日・先週・来月,来月,dɯan nâa,เดือนหน้า
11,今日・先週・来月,先月,dɯan thîi lɛ́ɛw,เดือนที่แล้ว
11,今日・先週・来月,毎月,thúk dɯan,ทุกเดือน
12,年と季節,年・~才,pii,ปี
12,年と季節,今年,pii níi,ปีนี้
12,年と季節,来年,pii nâa,ปีหน้า
12,年と季節,去年,pii thîi lɛ́ɛw,ปีที่แล้ว
12,年と季節,一年の初めごろ,tôn pii,ต้นปี
12,年と季節,一年の中ごろ,klaaŋ pii,กลางปี
12,年と季節,一年の終わりごろ,plaay pii,ปลายปี
12,年と季節,年末,sîn pii,สิ้นปี
12,年と季節,一年,nɯ̀ŋ pii,หนึ่งปี
12,年と季節,毎年,thúk pii,ทุกปี
12,年と季節,何年,kìi pii,กี่ปี
12,年と季節,西暦,khɔɔ sɔ̌ɔ,ค.ศ.
12,年と季節,仏曆,phɔɔ sɔ̌ɔ,พ.ศ.
12,年と季節,季節,rɯ́ʔ duu,ฤดู
12,年と季節,春,rɯ́ʔ duu bay máay phlìʔ,ฤดูใบไม้ผลิ
12,年と季節,秋,rɯ́ʔ duu bay máay rûaŋ,ฤดูใบไม้ร่วง
12,年と季節,夏（暑季）,nâa rɔ́ɔn,หน้าร้อน
12,年と季節,雨季,nâa fǒn,หน้าฝน
12,年と季節,冬（寒季）,nâa nǎaw,หน้าหนาว
12,年と季節,カレンダー,pà tìʔ thin,ปฏิทิน
12,年と季節,生年月日,wan dɯan pii kə̀ət,วันเดือนปีเกิด
13,位置と方向を知る,ここ,thîi nîi,ที่นี่
13,位置と方向を知る,そこ,thîi nân,ที่นั่น
13,位置と方向を知る,あそこ・向こうの方,thîi nôon,ที่โน่น
13,位置と方向を知る,上・階上,khâaŋ bon,ข้างบน
13,位置と方向を知る,下・階下,khâaŋ lâaŋ,ข้างล่าง
13,位置と方向を知る,下・真下,khâaŋ tây,ข้างใต้
13,位置と方向を知る,横・そば,khâŋ khâŋ,ข้างๆ
13,位置と方向を知る,前・表,khâaŋ nâa,ข้างหน้า
13,位置と方向を知る,後ろ・裏,khâaŋ lǎŋ,ข้างหลัง
13,位置と方向を知る,中,khâaŋ nay,ข้างใน
13,位置と方向を知る,外,khâaŋ nɔ̂ɔk,ข้างนอก
13,位置と方向を知る,右側,khâaŋ khwǎa,ข้างขวา
13,位置と方向を知る,左側,khâaŋ sáay,ข้างซ้าย
13,位置と方向を知る,東,ta wan ʔɔ̀ɔk,ตะวันออก
13,位置と方向を知る,西,ta wan tòk,ตะวันตก
13,位置と方向を知る,南,tâay,ใต้
13,位置と方向を知る,北,nɯ̌a,เหนือ
13,位置と方向を知る,まん中,klaaŋ,กลาง
13,位置と方向を知る,近い,klây,ใกล้
13,位置と方向を知る,遠い,klay,ไกล
13,位置と方向を知る,間,ráʔ wàaŋ,ระหว่าง
14,家族と呼び方,家族,khrɔ̂ɔp khrua,ครอบครัว
14,家族と呼び方,お父さん,khun phɔ̂ɔ,คุณพ่อ
14,家族と呼び方,お母さん,khun mɛ̂ɛ,คุณแม่
14,家族と呼び方,夫・ご主人,sǎa mii,สามี
14,家族と呼び方,妻・奥さん,phan rá yaa,ภรรยา
14,家族と呼び方,息子,lûuk chaay,ลูกชาย
14,家族と呼び方,娘,lûuk nɔ́ɔŋ,ลูกน้อง
14,家族と呼び方,おじいさん（父方）,khun pùu,คุณปู่
14,家族と呼び方,おじいさん（母方）,khun taa,คุณตา
14,家族と呼び方,おばあさん（父方）,khun yâa,คุณย่า
14,家族と呼び方,おばあさん（母方）,khun yaay,คุณยาย
14,家族と呼び方,孫・おい・めい,lǎan,หลาน
14,家族と呼び方,兄姉,phîi,พี่
14,家族と呼び方,弟妹,nɔ́ɔŋ,น้อง
14,家族と呼び方,兄,phîi chaay,พี่ชาย
14,家族と呼び方,姉,phîi sǎaw,พี่สาว
14,家族と呼び方,弟,nɔ́ɔŋ chaay,น้องชาย
14,家族と呼び方,妹,nɔ́ɔŋ sǎaw,น้องสาว
14,家族と呼び方,兄弟・姉妹,phîi nɔ́ɔŋ,พี่น้อง
14,家族と呼び方,両親,phɔ̂ɔ mɛ̂ɛ,พ่อแม่
14,家族と呼び方,自分,tua ʔeeŋ,ตัวเอง
15,親戚と呼び方,親戚,yâat,ญาติ
15,親戚と呼び方,夫の父親,phɔ̂ɔ sǎa mii,พ่อสามี
15,親戚と呼び方,夫の母親,mɛ̂ɛ sǎa mii,แม่สามี
15,親戚と呼び方,嫁,lûuk sàʔ pháy,ลูกสะใภ้
15,親戚と呼び方,婿,lúk khə̌əy,ลุกเขย
15,親戚と呼び方,妻の父親,phɔ̂ɔ taa,พ่อตา
15,親戚と呼び方,妻の母親,mɛ̂ɛ yaay,แม่ยาย
15,親戚と呼び方,叔父（母の弟）,khun náa chaay,คุณน้าชาย
15,親戚と呼び方,叔母（母の妹）,khun náa sǎaw,คุณน้าสาว
15,親戚と呼び方,叔父（父の弟）,khun ʔaa chaay,คุณอาชาย
15,親戚と呼び方,叔母（父の妹）,khun ʔaa yǐŋ,คุณอาหญิง
15,親戚と呼び方,伯父（父母の兄）,khun luŋ,คุณลุง
15,親戚と呼び方,伯母（父母の姉）,khun pâa,คุณป้า
15,親戚と呼び方,従兄弟,lûuk phîi lûuk nɔ́ɔŋ,ลูกพี่ลูกน้อง
15,親戚と呼び方,兄嫁,phîi sàʔ pháy,พี่สะใภ้
15,親戚と呼び方,義兄,phîi khə̌əy,พี่เขย
15,親戚と呼び方,姉妹の夫,nɔ́ɔŋ khə̌əy,น้องเขย
15,親戚と呼び方,弟の妻,nɔ́ɔŋ sàʔ pháy,น้องสะใภ้
15,親戚と呼び方,双子,fǎa fɛ̀ɛt,ฝาแฝด
15,親戚と呼び方,恋人,fɛɛn,แฟน
15,親戚と呼び方,新郎新婦,câw bàaw sǎaw,เจ้าบ่าวสาว
16,周囲の人々,Mr.,naay,นาย
16,周囲の人々,Mrs.,naaŋ,นาง
16,周囲の人々,Miss,naaŋ sǎaw,นางสาว
16,周囲の人々,坊や・お嬢さん・私,nǔu,หนู
16,周囲の人々,友達,phɯ̂an,เพื่อน
16,周囲の人々,先輩,rûn phîi,รุ่นพี่
16,周囲の人々,後輩,rûn nɔ́ɔŋ,รุ่นน้อง
16,周囲の人々,同僚,rûn diaw kan,รุ่นเดียวกัน
16,周囲の人々,他人,khon ʔɯ̀ɯn,คนอื่น
16,周囲の人々,子供,dèk,เด็ก
16,周囲の人々,大人・目上の人,phûu nây,ผู้ใหณ่
16,周囲の人々,先生,ʔaa caan,อาจารย์
16,周囲の人々,老人,khon kɛ̀ɛ,คนแก่
16,周囲の人々,若者,way rûn,วัยรุ่น
16,周囲の人々,未婚の若い女性,sǎaw,สาว
16,周囲の人々,婚約者,khûu mân,คู่หมั้น
16,周囲の人々,隣家・近所の人,khon khâaŋ bâan,คนข้างบ้าน
16,周囲の人々,上司,hǔa nâa,หัวหน้า
16,周囲の人々,赤ちゃん,dèk thaa rók,เด็กทารก
16,周囲の人々,男・男性,phûu chaay,ผู้ชาย
16,周囲の人々,女・女性,phûu yǐŋ,ผู้หญิง
17,一日の生活,目がさめる,tɯ̀ɯn nɔɔn,ตื่นนอน
17,一日の生活,起きる,lúk khɯ̂n,ลุกขึ้น
17,一日の生活,水を浴びる,ʔàap náam,อาบน้ำ
17,一日の生活,顔を洗う,láaŋ nâa,ล้างหน้า
17,一日の生活,歯を磨く,prɛɛŋ fan,แปรงฟัน
17,一日の生活,食事を作る,tham ʔaa hǎan,ทำอาหาร
17,一日の生活,ご飯を食べる,thaan khâaw,ทานข้าว
17,一日の生活,水を飲む,thaan náam,ทานน้ำ
17,一日の生活,新聞を読む,ʔàan nǎŋ sɯ̌ɯ,อ่านหนังสือ
17,一日の生活,トイレに入る,khâw hɔ̂ɔŋ náam,เข้าห้องน้ำ
17,一日の生活,化粧する,tɛ̀ŋ nâa,แต่งหน้า
17,一日の生活,出勤する,pay tham ŋaan,ไปทำงาน
17,一日の生活,車に乗る,khɯ̂n rót,ขึ้นรถ
17,一日の生活,車から降りる,loŋ rót,ลงรถ
17,一日の生活,働く,tham ŋaan,ทำงาน
17,一日の生活,忙しい,yûŋ,ยุ่ง
17,一日の生活,休む,phák,พัก
17,一日の生活,買い物をする,sɯ́ɯ khɔ̌ɔŋ,ซื้อของ
17,一日の生活,帰宅する,klàp bâan,กลับบ้าน
17,一日の生活,寝る,nɔɔn,นอน
17,一日の生活,夢を見る,fǎn,ฝัน
18,いつもの動作,する・作る,tham,ทำ
18,いつもの動作,立つ,yɯɯn,ยืน
18,いつもの動作,座る,náŋ,นั้ง
18,いつもの動作,来る,maa,มา
18,いつもの動作,行く,pay,ไป
18,いつもの動作,入って来る,khâw maa,เข้ามา
18,いつもの動作,出て来る,ʔɔ̀ɔk maa,ออกมา
18,いつもの動作,入って行く,khâw pay,เข้าไป
18,いつもの動作,出て行く,ʔɔ̀ɔk pay,ออกไป
18,いつもの動作,見る,duu,ดู
18,いつもの動作,見える・見かける,hěn,เห็น
18,いつもの動作,聞く,faŋ,ฟัง
18,いつもの動作,聞こえる,dây yin,ได้ยิน
18,いつもの動作,会う,cəə,เจอ
18,いつもの動作,話す,phûut,พูด
18,いつもの動作,読む,ʔàan,อ่าน
18,いつもの動作,食べる,thaan,ทาน
18,いつもの動作,飲む,dɯɯm,ดืม
18,いつもの動作,遊ぶ,lên,เล่น
18,いつもの動作,待つ,rɔɔ,รอ
18,いつもの動作,持っている・ある,mii,มี
19,手足の動作,つかむ・さわる,càp,จับ
19,手足の動作,押す,phlàk,ผลัก
19,手足の動作,引く,dɯŋ,ดึง
19,手足の動作,捨てる,thíŋ,ทิ้ง
19,手足の動作,破る,chìik,ฉีก
19,手足の動作,投げる,khwâaŋ,ขว้าง
19,手足の動作,受ける,ráp,รับ
19,手足の動作,抱く,kɔ̀ɔt,กอด
19,手足の動作,持ち上げる,yók,ยก
19,手足の動作,つまむ・拾う,yìp,หยิบ
19,手足の動作,指す,chíi,ชี้
19,手足の動作,叩く,khɔ́ʔ,เคาะ
19,手足の動作,押さえる,kòt,กด
19,手足の動作,蹴る,tèʔ,เตะ
19,手足の動作,倒れる,lóm,ล้ม
19,手足の動作,踏む,yìap,เหยียบ
19,手足の動作,書く,khǐan,เขียน
19,手足の動作,歩く,dəən,เดิน
19,手足の動作,走る,wîŋ,วิ่ง
19,手足の動作,運ぶ,khǒn,ขน
19,手足の動作,置く,waaŋ,วาง
20,頭を働かせる,考える,khít,คิด
20,頭を働かせる,覚えている,cam,จำ
20,頭を働かせる,記憶、記憶力,khwaam soŋ cam,ความทรงจำ
20,頭を働かせる,忘れる,lɯɯm,ลืม
20,頭を働かせる,残念に思う,sǐa cay,เสียใจ
20,頭を働かせる,悩む,klûm cay,กลุ้มใจ
20,頭を働かせる,反省する,sǎm nɯ́k phìt,สำนึกผิด
20,頭を働かせる,想像する,daw,เดา
20,頭を働かせる,関心を持つ,sǒn cay,สนใจ
20,頭を働かせる,検討する,phíʔ caa rá naa,พิจารณา
20,頭を働かせる,説明する,ʔà thíʔ baay,อธิบาย
20,頭を働かせる,気をつかう,ʔaw cay sày,เอาใจใส่
20,頭を働かせる,ぼんやりする,cay lɔɔy,ใจลอย
20,頭を働かせる,理解する,khâw cay,เข้าใจ
20,頭を働かせる,誤解する,khâw cay phìt,เข้าใจผิด
20,頭を働かせる,信じる,chɯ̂a,เชื่อ
20,頭を働かせる,相談する,prɯ̀k sǎa,ปรึกษา
20,頭を働かせる,決める、決心する,tàt sǐn cay,ตัดสินใจ
20,頭を働かせる,疑う,sǒŋ sǎy,สงสัย
20,頭を働かせる,信頼する,wáy cay,ไว้ใจ
21,教室で,勉強する,rian,เรียน
21,教室で,学校,rooŋ rian,โรงเรียน
21,教室で,教室,hɔ̂ɔŋ rian,ห้องเรียน
21,教室で,出席をとる,khǎan chɯ̂ɯ,ขานชื่อ
21,教室で,授業を欠席する,khàat rian,ขาดเรียน
21,教室で,遅刻する,maa sǎay,มาสาย
21,教室で,授業をさぼる,dòot rian,โดดเรียน
21,教室で,授業が終わる,lə̂ək rian,เลิกเรียน
21,教室で,教える,sɔ̌ɔn,สอน
21,教室で,問う・たずねる,thǎam,ถาม
21,教室で,質問,kham thǎam,คำถาม
21,教室で,答える,tɔ̀ɔp,ตอบ
21,教室で,答え,kham tɔ̀ɔp,คำตอบ
21,教室で,難しい,yâak,ยาก
