page,jp,phone,th
8,突然,ka than hǎn,กะทันหัน
8,このごろ・最近,mùu níi,หมู่นี้
8,現代・近代,sa mǎy níi,สมัยนี้
8,昔,sa mǎy kɔ̀ɔn,สมัยก่อน
8,将来,nay ʔà naa khót,ในอนาคต
9,日,wan,วัน
9,日付,wan thîi,วันที่
9,ついたち,wan thîi nɯ̀ŋ,วันที่หนึ่ง
9,ふつか,wan thîi sɔ̌ɔŋ,วันที่สอง
9,何日（日付）,wan thîi thâw ray,วันที่เท่าไร
9,一日（期間）,nɯ̀ŋ wan,หนึ่งวัน
9,二日（期間）,sɔ̌ɔŋ wan,สองวัน
9,一両日,wan sɔ̌ɔŋ wan,วันสองวัน
9,三・四日,sǎam sìi wan,สามสี่วัน
9,何日間,kìi wan,กี่วัน
9,日曜日,wan ʔaa thít,วันอาทิตย์
9,月曜日,wan can,วันจันทร์
9,火曜日,wan ʔaŋ khaan,วันอังคาร
9,水曜日,wan phút,วันพุธ
9,木曜日,wan phá rɯ́ hàt,วันพฤหัส
9,金曜日,wan sùk,วันศุกร์
9,土曜日,wan sǎw,วันเสาร์
9,何曜日,wan ʔà ray,วันอะไร
9,月水金,can phút sùk,จันทร์พุธศุกร์
9,元旦,wan khɯ̂n pii mày,วันขึ้นปีใหม่
9,週,ʔaa thít,อาทิตย์
10,月,dɯan,เดือน
10,一月,dɯan mók kà raa khom,เดือนมกราคม
10,二月,dɯan kum phaa phan,เดือนกุมภาพันธ์
10,三月,dɯan mii naa khom,เดือนมีนาคม
10,四月,dɯan mee sǎa yon,เดือนเมษายน
10,五月,dɯan phrɯ́t sa phaa khom,เดือนพฤษภาคม
10,六月,dɯan míʔ thùʔ naa yon,เดือนมิถุนายน
10,七月,dɯan kà rá kà daa khom,เดือนกรกฎาคม
10,八月,dɯan sǐŋ hǎa khom,เดือนสิงหาคม
10,九月,dɯan kan yaa yon,เดือนกันยายน
10,十月,dɯan tùʔ laa khom,เดือนตุลาคม
10,十一月,dɯan phrɯ́t sa cìʔ kaa yon,เดือนพฤศจิกายน
10,十二月,dɯan than waa khom,เดือนธันวาคม
10,何月,dɯan ʔà ray,เดือนอะไร
10,一か月,nɯ̀ŋ dɯan,หนึ่งเดือน
10,二か月,sɔ̌ɔŋ dɯan,สองเดือน
10,何か月,kìi dɯan,กี่เดือน
10,初旬,tôn duan,ต้นเดือน
10,中旬,klaaŋ dɯan,กลางเดือน
10,下旬,plaay duan,ปลายเดือน
10,月末,sîn dɯan,สิ้นเดือน
11,きょう,wan níi,วันนี้
11,あした,phrûŋ níi,พรุ่งนี้
11,あさって,máʔ rɯɯn níi,มะรืนนี้
11,しあさって,máʔ rɯ̂aŋ níi,มะเรื่องนี้
11,きのう,mɯ̂a waan níi,เมื่อวานนี้
11,おととい,mɯ̂a waan sɯɯn níi,เมื่อวานซืนนี้
11,翌日,wan rûŋ khɯ̂n,วันรุ่งขึ้น
11,毎日,thúk wan,ทุกวัน
11,休日・祝日,wan yùt,วันหยุด
11,今週,ʔaa thít níi,อาทิตย์นี้
11,来週,ʔaa thít nâa,อาทิตย์หน้า
11,先週,ʔaa thít thîi lɛ́ɛw,อาทิตย์ที่แล้ว
11,毎週,thúk ʔaa thít,ทุกอาทิตย์
11,2週間,sɔ̌ɔŋ ʔaa thít,สองอาทิตย์
11,何週間,kìi ʔaa thít,กี่อาทิตย์
11,週末,sùt sàp daa,สุดสัปดาห์
11,ゴールデン・ウィーク,sàp daa thɔɔŋ,สัปดาห์ทอง
11,今月,dɯan níi,เดือนนี้
11,来月,dɯan nâa,เดือนหน้า
11,先月,dɯan thîi lɛ́ɛw,เดือนที่แล้ว
11,毎月,thúk dɯan,ทุกเดือน
12,年・~才,pii,ปี
12,今年,pii níi,ปีนี้
12,来年,pii nâa,ปีหน้า
12,去年,pii thîi lɛ́ɛw,ปีที่แล้ว
12,一年の初めごろ,tôn pii,ต้นปี
12,一年の中ごろ,klaaŋ pii,กลางปี
12,一年の終わりごろ,plaay pii,ปลายปี
12,年末,sîn pii,สิ้นปี
12,一年,nɯ̀ŋ pii,หนึ่งปี
12,毎年,thúk pii,ทุกปี
12,何年,kìi pii,กี่ปี
12,西暦,khɔɔ sɔ̌ɔ,ค.ศ.
12,仏曆,phɔɔ sɔ̌ɔ,พ.ศ.
12,季節,rɯ́ʔ duu,ฤดู
12,春,rɯ́ʔ duu bay máay phlìʔ,ฤดูใบไม้ผลิ
12,秋,rɯ́ʔ duu bay máay rûaŋ,ฤดูใบไม้ร่วง
12,夏（暑季）,nâa rɔ́ɔn,หน้าร้อน
12,雨季,nâa fǒn,หน้าฝน
12,冬（寒季）,nâa nǎaw,หน้าหนาว
12,カレンダー,pà tìʔ thin,ปฏิทิน
12,生年月日,wan dɯan pii kə̀ət,วันเดือนปีเกิด
13,ここ,thîi nîi,ที่นี่
13,そこ,thîi nân,ที่นั่น
13,あそこ・向こうの方,thîi nôon,ที่โน่น
13,上・階上,khâaŋ bon,ข้างบน
13,下・階下,khâaŋ lâaŋ,ข้างล่าง
13,下・真下,khâaŋ tây,ข้างใต้
13,横・そば,khâŋ khâŋ,ข้างๆ
13,前・表,khâaŋ nâa,ข้างหน้า
13,後ろ・裏,khâaŋ lǎŋ,ข้างหลัง
13,中,khâaŋ nay,ข้างใน
13,外,khâaŋ nɔ̂ɔk,ข้างนอก
13,右側,khâaŋ khwǎa,ข้างขวา
13,左側,khâaŋ sáay,ข้างซ้าย
13,東,ta wan ʔɔ̀ɔk,ตะวันออก
13,西,ta wan tòk,ตะวันตก
13,南,tâay,ใต้
13,北,nɯ̌a,เหนือ
13,まん中,klaaŋ,กลาง
13,近い,klây,ใกล้
13,遠い,klay,ไกล
13,間,ráʔ wàaŋ,ระหว่าง
14,家族,khrɔ̂ɔp khrua,ครอบครัว
14,お父さん,khun phɔ̂ɔ,คุณพ่อ
14,お母さん,khun mɛ̂ɛ,คุณแม่
14,夫・ご主人,sǎa mii,สามี
14,妻・奥さん,phan rá yaa,ภรรยา
14,息子,lûuk chaay,ลูกชาย
14,娘,lûuk nɔ́ɔŋ,ลูกน้อง
14,おじいさん（父方）,khun pùu,คุณปู่
14,おじいさん（母方）,khun taa,คุณตา
14,おばあさん（父方）,khun yâa,คุณย่า
14,おばあさん（母方）,khun yaay,คุณยาย
14,孫・おい・めい,lǎan,หลาน
14,兄姉,phîi,พี่
14,弟妹,nɔ́ɔŋ,น้อง
14,兄,phîi chaay,พี่ชาย
14,姉,phîi sǎaw,พี่สาว
14,弟,nɔ́ɔŋ chaay,น้องชาย
14,妹,nɔ́ɔŋ sǎaw,น้องสาว
14,兄弟・姉妹,phîi nɔ́ɔŋ,พี่น้อง
14,両親,phɔ̂ɔ mɛ̂ɛ,พ่อแม่
14,自分,tua ʔeeŋ,ตัวเอง
16,Mr.,naay,นาย
16,Mrs.,naaŋ,นาง
16,Miss,naaŋ sǎaw,นางสาว
16,坊や・お嬢さん・私,nǔu,หนู
16,友達,phɯ̂an,เพื่อน
16,先輩,rûn phîi,รุ่นพี่
16,後輩,rûn nɔ́ɔŋ,รุ่นน้อง
16,同僚,rûn diaw kan,รุ่นเดียวกัน
16,他人,khon ʔɯ̀ɯn,คนอื่น
16,子供,dèk,เด็ก
16,大人・目上の人,phûu nây,ผู้ใหณ่
16,先生,ʔaa caan,อาจารย์
16,老人,khon kɛ̀ɛ,คนแก่
16,若者,way rûn,วัยรุ่น
16,未婚の若い女性,sǎaw,สาว
16,婚約者,khûu mân,คู่หมั้น
16,隣家・近所の人,khon khâaŋ bâan,คนข้างบ้าน
16,上司,hǔa nâa,หัวหน้า
16,赤ちゃん,dèk thaa rók,เด็กทารก
16,男・男性,phûu chaay,ผู้ชาย
16,女・女性,phûu yǐŋ,ผู้หญิง
17,目がさめる,tɯ̀ɯn nɔɔn,ตื่นนอน
17,起きる,lúk khɯ̂n,ลุกขึ้น
17,水を浴びる,ʔàap náam,อาบน้ำ
17,顔を洗う,láaŋ nâa,ล้างหน้า
17,歯を磨く,prɛɛŋ fan,แปรงฟัน
17,食事を作る,tham ʔaa hǎan,ทำอาหาร
17,ご飯を食べる,thaan khâaw,ทานข้าว
17,水を飲む,thaan náam,ทานน้ำ
17,新聞を読む,ʔàan nǎŋ sɯ̌ɯ,อ่านหนังสือ
17,トイレに入る,khâw hɔ̂ɔŋ náam,เข้าห้องน้ำ
17,化粧する,tɛ̀ŋ nâa,แต่งหน้า
17,出勤する,pay tham ŋaan,ไปทำงาน
17,車に乗る,khɯ̂n rót,ขึ้นรถ
17,車から降りる,loŋ rót,ลงรถ
17,働く,tham ŋaan,ทำงาน
17,忙しい,yûŋ,ยุ่ง
17,休む,phák,พัก
17,買い物をする,sɯ́ɯ khɔ̌ɔŋ,ซื้อของ
17,帰宅する,klàp bâan,กลับบ้าน
17,寝る,nɔɔn,นอน
17,夢を見る,fǎn,ฝัน
18,する・作る,tham,ทำ
18,立つ,yɯɯn,ยืน
18,座る,náŋ,นั้ง
18,来る,maa,มา
18,行く,pay,ไป
18,入って来る,khâw maa,เข้ามา
18,出て来る,ʔɔ̀ɔk maa,ออกมา
18,入って行く,khâw pay,เข้าไป
18,出て行く,ʔɔ̀ɔk pay,ออกไป
18,見る,duu,ดู
18,見える・見かける,hěn,เห็น
18,聞く,faŋ,ฟัง
18,聞こえる,dây yin,ได้ยิน
18,会う,cəə,เจอ
18,話す,phûut,พูด
18,読む,ʔàan,อ่าน
18,食べる,thaan,ทาน
18,飲む,dɯɯm,ดืม
18,遊ぶ,lên,เล่น
18,待つ,rɔɔ,รอ
18,持っている・ある,mii,มี
19,つかむ・さわる,càp,จับ
19,押す,phlàk,ผลัก
19,引く,dɯŋ,ดึง
19,捨てる,thíŋ,ทิ้ง
19,破る,chìik,ฉีก
19,投げる,khwâaŋ,ขว้าง
19,受ける,ráp,รับ
19,抱く,kɔ̀ɔt,กอด
19,持ち上げる,yók,ยก
19,つまむ・拾う,yìp,หยิบ
19,指す,chíi,ชี้
19,叩く,khɔ́ʔ,เคาะ
19,押さえる,kòt,กด
19,蹴る,tèʔ,เตะ
19,倒れる,lóm,ล้ม
19,踏む,yìap,เหยียบ
19,書く,khǐan,เขียน
19,歩く,dəən,เดิน
19,走る,wîŋ,วิ่ง
19,運ぶ,khǒn,ขน
19,置く,waaŋ,วาง
21,勉強する,rian,เรียน
21,学校,rooŋ rian,โรงเรียน
21,教室,hɔ̂ɔŋ rian,ห้องเรียน
21,出席をとる,khǎan chɯ̂ɯ,ขานชื่อ
21,授業を欠席する,khàat rian,ขาดเรียน
21,遅刻する,maa sǎay,มาสาย
21,授業をさぼる,dòot rian,โดดเรียน
21,授業が終わる,lə̂ək rian,เลิกเรียน
21,教える,sɔ̌ɔn,สอน
21,問う・たずねる,thǎam,ถาม
21,質問,kham thǎam,คำถาม
21,答える,tɔ̀ɔp,ตอบ
21,答え,kham tɔ̀ɔp,คำตอบ
21,難しい,yâak,ยาก
21,やさしい,ŋâay,ง่าย
21,暗唱する,thɔ̂ŋ,ท่อง
21,一生懸命勉強する,tâŋ cay rian,ตั้งใจเรียน
21,家などで勉強する,duu naŋ sɯ̌ɯ,ดูหนังสือ
21,書き写す,khát,คัด
21,テスト（をする）,sɔ̀ɔp,สอบ
21,練習問題,bɛ̀ɛp fɯ̀k hàt,แบบฝึกหัด
22,入学する,khâw rian,เข้าเรียน
22,卒業する,rian còp,เรียนจบ
22,幼稚園,rooŋ rian ʔà núʔ baan,โรงเรียนอนุบาล
22,小学校,rooŋ rian pra thǒm sɯ̀k sǎa,โรงเรียนประถมศึกษา
22,中学校,rooŋ rian mát thá yom sɯ̀k sǎa tɔɔn tôn,โรงเรียนมัธยมศึกษาตอนต้น
22,高等学校,rooŋ rian mát thá yom sɯ̀k sǎa tɔɔn plaay,โรงเรียนมัธยมศึกษาตอนปลาย
22,校長先生,khruu yày,ครูใหญ่
22,生徒,nák rian,นักเรียน
22,学生,nák sɯ̀k sǎa,นักศึกษา
22,宿題,kaan ,การบ็าน
22,復習する,thóp thuan,ทบทวน
22,試験に受かる,sɔ̀ɔp dâay,สอบได้
22,試験に落ちる,sɔ̌ɔy tòk,สอยตก
22,学年,chán rian,ชั้นเรียน
22,進級する,khɯ̂n chán,ขึ้นชั้น
22,留年する,sám chán,ซ้ำชั้น
22,寄宿舎・寮,hɔ̌ɔ phák,หอพัก
22,図書館,hɔ̌ɔ sa mùt,หอสมุด
22,休みになる,pìt thəəm,ปิดเทอม
22,（学習・業務）科,pha nɛ̀ɛk,แผนก
22,学部,khá náʔ,คณะ
23,文学部,khá náʔ ʔàk sɔ̌ɔn sàat,คณะอักษรศาสตร์
23,教育学部,khá ná khá rú sàat,คณะครุศาสตร์
23,人文学部,khá náʔ má nút sàat,คณะมนุษยศาสตร์
23,工学部,khá ná wít sà wá kam sàat,คณะวิศวกรรมศาสตร์
23,経済学部,khá ná sèet thà sàat,คณะเศรษฐศาสตร์
23,社会学部,khá ná sǎŋ khom sàat,คณะสังคมศาสตร์
23,政治学部,khá ná rát thà sàat,คณะรัฐศาสตร์
23,医学部,khá náʔ phɛ̂ɛt tháʔ yáʔ sàat,คณะแพทยศาสตร์
23,農学部,khá náʔ ka sèet tràʔ sàat,คณะเกษตรศาสตร์
23,法律学部,khá ná ní tì sàat,คณะนิติศาสตร์
23,理学部,khá ná wít thá yaa sàat,คณะวิทยาศาสตร์
23,タイ語学科,pha nɛ̀ɛk wí chaa phaa sǎa thay,แผนกวิชาภาษาไทย
23,生協,sa hà kɔɔn,สหกรณ์
23,チュラロンコン大学,cùʔ laa loŋ kɔɔn ma hǎa wít thá yaa lay,จุฬาลงกรณ์มหาวิทยาลัย
23,タマサート大学,ma hǎa wít thá yaa lay tham má sàat,มหาวิทยาลัยธรรมศาสตร์
23,大学,ma hǎa wít thá yaa lay,มหาวิทยาลัย
23,助教授,phûu chûay sàat sàʔ traa caan,ผู้ช่วยศาสตราจารย์
23,准教授,rɔɔŋ sàat sàʔ traa caan,รองศาสตราจารย์
23,教授,sàat sàʔ traa caan,ศาสตราจารย์
23,学部長,khá ná bɔɔ dii,คณบดี
23,学長,ʔà thíʔ kaan bà dii,อธิการบดี
24,ことば・言語,phaa sǎa,ภาษา
24,標準語,phaa sǎa klaaŋ,ภาษากลาง
24,方言,phaa sǎa thɔ́ɔŋ thìn,ภาษาท้องถิ่น
24,外国語,phaa sǎa tàŋ pra thêet,ภาษาต่างประเทศ
24,タイ語,phaa sǎa thay,ภาษาไทย
24,文字,taŋ nǎŋ sɯ̌ɯ,ตังหนังสือ
24,正書法,ʔàk khà ràʔ wíʔ thii,อักขรวิธี
24,母音,sa ràʔ,สระ
24,子音,phá yan chá náʔ,พยัญชนะ
24,発音する,ʔɔ̀ɔk sǐaŋ,ออกเสียง
24,声調,wan ná yúk,วรรณยุกต์
24,音節,phá yaaŋ,พยางค์
24,単語,kham sàp,คำศัพท์
24,辞典・辞書,phót ca naa núʔ krom,พจนานุกรม
24,調べる,khón hǎa,ค้นหา
24,文章,pra yòok,ประโยค
24,文法,way yaa kɔɔn,ไวยากรณ์
24,意味,khwaam mǎay,ความหมาย
24,翻訳する,plɛɛ,แปล
24,会話,sǒn thá naa,สนทนา
24,王族用語,raa chaa sàp,ราชาศัพท์
25,机,tóʔ,โต๊ะ
25,いす,kâw ʔîi,เก้าอี้
25,ひきだし,lín chák,ลิ้นชัก
25,黒板,kra daan dam,กระดานดำ
25,チョーク,chɔ́ɔk,ชอล์ก
25,カバン・ポケット,kra pǎw,กระเป๋า
25,筆入れ,klɔ̀ɔŋ din sɔ̌ɔ,กล่องดินสอ
25,鉛筆,din sɔ̌ɔ,ดินสอ
25,万年筆,pàak kaa mɯ̀k sɯm,ปากกาหมึกซึม
25,インク,mɯ̀k,หมึก
25,ボールペン,pàak kaa lûuk lɯ̂ɯn,ปากกาลูกลื่น
25,シャープペンシル,pàak kaa din sɔ̌ɔ,ปากกาดินสอ
25,消しゴム,yaaŋ lóp,ยางลบ
25,定規,máay ban thát,ไม้บรรทัด
25,はさみ,kan kray,กรรไกร
25,のり,kaaw,กาว
25,ナイフ,mîit,มีด
25,ノート,sa mùt nóot,สมุดโน้ต
25,教科書,nǎŋ sɯ̌ɯ rian,หนังสือเรียน
25,時間割,taa raaŋ sɔ̌ɔn,ตารางสอน
25,紙,kra dàat,กระดาษ
26,生まれる,kə̀ət,เกิด
26,誕生日,wan kə̀ət,วันเกิด
26,育つ・成長する,tə̀əp too,เติบโต
26,老いる,kɛ̀ɛ loŋ,แก่ลง
26,死ぬ・亡くなる,taay sǐa,ตาย(เสีย)
26,結婚する,tɛ̀ŋ ŋaan,แต่งงาน
26,結婚式,ŋaan tɛ̀ŋ ŋaan,งานแต่งงาน
26,独身（の）,sòot,โสด
26,機会,ʔoo kàat,โอกาส
26,離婚する,yàa,หย่า
26,子供を生む,khlɔ̂ɔt lûuk,คลอดลูก
26,貧しい,con,จน
26,金持ちの,ruay,รวย
26,苦労する,lam bàak,ลำบาก
26,泣く,rɔ́ɔŋ hây,ร้องไห้
26,問題,pan hǎa,ปัญหา
26,口げんかをする,tháʔ lɔ́ʔ,ทะเลาะ
26,快適な,sa baay,สบาย
26,笑う,hǔa rɔ́ʔ,หัวเราะ
26,安定した,mân khoŋ,มั่นคง
26,幸せだ,mii khwaam sùk,มีความสุข
27,身体,râaŋ kaay,ร่างกาย
27,皮膚・肌,phǐw nǎŋ,ผิวหนัง
27,額,hǔa,หัว
27,脳,sa mɔ̌ɔŋ,สมอง
27,髪,phǒm,ผม
27,顔,nâa,หน้า
27,額・おでこ,nâa phàak,หน้าผาก
27,眉毛,khíw,คิ้ว
27,目,taa,ตา
27,まつげ,khǒn taa,ขนตา
27,鼻,cà mùuk,จมูก
27,耳,hǔu,หู
27,口,pàak,ปาก
27,舌,lín,ลิ้น
27,歯,fan,ฟัน
27,くちびる,rim fǐi pàak,ริมฝีปาก
27,口ひげ,nùat,หนวด
27,ほおひげ・あごひげ,kraw,เครา
27,もみあげ,cɔɔn,จอน
27,あご,khaaŋ,คาง
27,首・のど,khɔɔ,คอ
28,肩,lày,ไหล่
28,胸,ʔòk,อก
28,腕,khɛ̌ɛn,แขน
28,ひじ,sɔ̀ɔk,ศอก
28,手,mɯɯ,มือ
28,手首,khɔ̂ɔ mɯɯ,ข้อมือ
28,掌,fàa mɯɯ,ฝ่ามือ
28,手の甲,lǎŋ mɯɯ,หลังมือ
28,こぶし,kam mɯɯ,กำมือ
28,指,níw,นิ้ว
28,爪,lép,เล็บ
28,背中,lǎŋ,หลัง
28,骨,kra dùuk,กระดูก
28,中骨,kra dùuk sǎn lǎŋ,กระดูกสันหลัง
28,腹・お腹,thɔ́ɔŋ,ท้อง
28,腰・ウエスト,ʔeew,เอว
28,心臓,hǔa cay,หัวใจ
28,肺,pɔ̀ɔt,ปอด
28,胃,kra phɔ́ʔ ʔaa hǎan,กระเพาะอาหาร
28,血,lɯ̂at,เลือด
28,血管,sên lɯ̂at,เส้นเลือด
29,おしり・ヒップ,sàʔ phôok,สะโพก
29,脚,khǎa,ขา
29,もも,khǎa ʔɔ̀ɔn,ขาอ่อน
29,ひざ,hǔa khàw,หัวเข่า
29,すね,nâa khɛ̂ɛŋ,หน้าแข้ง
29,ふくらはぎ,nɔ̂ɔŋ,น่อง
29,足首,khɔ̂ɔ tháaw,ข้อเท้า
29,足,tháaw,เท้า
29,くるぶし,taa tùm,ตาตุ่ม
29,かかと,sôn tháaw,ส้นเท้า
29,足の裏,fàa tháaw,ฝ่าเท้า
29,足の甲,lǎŋ tháaw,หลังเท้า
29,つま先,plaay tháaw,ปลายเท้า
